D_ID,Actor,Scene_Num,Location,Shoot_Town,DATE
14,Vijay,5,Inc Tech,Madhapur,2022-06-14
17,Vijay,2,Ikea Flyover,Raidurg,2022-06-17
19,Vijay,8,Ikea Flyover,Raidurg,2022-06-19
31,Vijay,7,Royal Oak,Manikonda,2022-07-01
33,Vijay,11,Ramanaidu,Nanakramguda,2022-07-03
62,Vijay,10,Park Hayatt,Banjarahills,2022-08-01
76,Vijay,12,Ramanaidu,Nanakramguda,2022-08-15
85,Vijay,6,Konark Community,Vizag,2022-08-24
91,Vijay,4,Konark Community,Vizag,2022-08-30
97,Vijay,3,Konark Community,Vizag,2022-09-05
106,Vijay,14,Lotus Park,Vizag,2022-09-14
97,Devi,13,Lotus Park,Vizag,2022-09-05
31,Gopi,7,Royal Oak,Manikonda,2022-07-01
62,Gopi,10,Park Hayatt,Banjarahills,2022-08-01
76,Nani,12,Ramanaidu,Nanakramguda,2022-08-15
62,Venkat,10,Park Hayatt,Banjarahills,2022-08-01
69,Venkat,9,Park Hayatt,Banjarahills,2022-08-08
31,Bhola,7,Royal Oak,Manikonda,2022-07-01
60,Bhola,1,Ramoji,Ramoji,2022-07-30
14,Pratap,5,Inc Tech,Madhapur,2022-06-14
17,Pratap,2,Ikea Flyover,Raidurg,2022-06-17
19,Pratap,8,Ikea Flyover,Raidurg,2022-06-19
31,Pratap,7,Royal Oak,Manikonda,2022-07-01
85,Pratap,6,Konark Community,Vizag,2022-08-24
91,Pratap,4,Konark Community,Vizag,2022-08-30
97,Pratap,3,Konark Community,Vizag,2022-09-05
33,Jeevan,11,Ramanaidu,Nanakramguda,2022-07-03
33,Anu,11,Ramanaidu,Nanakramguda,2022-07-03
