config,algorithm,mean_hv,std_hv,mean_igd,std_igd,num_runs
S10,BDM_NoAOS,9907.82,0.0,0.0,0.0,30
S10,BDM_AOS,9907.82,0.0,0.0,0.0,30
S10,BDM_NoSIG,6999.52,2191.34,1817.6873,1369.5858,30
S10,BDM_NoSpecOps,9907.82,0.0,0.0,0.0,30
S10,BDM_Flat,9852.08,142.09,34.832,88.8045,30
S100,BDM_NoAOS,943374.52,64369.62,28521.2793,10910.1058,30
S100,BDM_AOS,944838.97,109135.14,28273.067,18497.4817,30
S100,BDM_NoSIG,382182.01,81448.72,123638.6543,13804.8674,30
S100,BDM_NoSpecOps,942418.97,89594.36,28683.2373,15185.4853,30
S100,BDM_Flat,528076.85,104253.95,98910.7147,17670.1617,30
S15,BDM_NoAOS,81481.71,0.0,465.83,0.0,30
S15,BDM_AOS,81481.71,0.0,465.83,0.0,30
S15,BDM_NoSIG,27427.02,15683.55,28915.6697,8254.5015,30
S15,BDM_NoSpecOps,81481.71,0.0,465.83,0.0,30
S15,BDM_Flat,80773.22,904.85,838.7197,476.2379,30
S20,BDM_NoAOS,62132.57,380.26,8399.618,181.0761,30
S20,BDM_AOS,62132.57,380.26,8399.618,181.0761,30
S20,BDM_NoSIG,25600.66,8009.22,25795.7647,3813.9144,30
S20,BDM_NoSpecOps,62003.2,384.64,8461.2213,183.1599,30
S20,BDM_Flat,71055.5,9172.79,4150.6033,4367.9962,30
S25,BDM_NoAOS,85850.94,15291.28,5635.1363,6648.3815,30
S25,BDM_AOS,87072.39,14797.65,5104.0697,6433.7628,30
S25,BDM_NoSIG,30299.05,7619.8,29788.1287,3312.9545,30
S25,BDM_NoSpecOps,86705.54,15296.66,5263.5693,6650.7201,30
S25,BDM_Flat,82391.37,11650.34,7139.295,5065.3671,30
S30,BDM_NoAOS,206525.97,21579.94,12000.8268,2400.8679,30
S30,BDM_AOS,200377.62,26195.87,13205.4915,3595.5423,30
S30,BDM_NoSIG,124811.39,37512.96,23158.4624,4869.067,30
S30,BDM_NoSpecOps,201408.41,22755.55,12844.8999,2824.7249,30
S30,BDM_Flat,264636.52,30142.22,4648.3374,4081.403,30
S50,BDM_NoAOS,308543.82,35691.44,11327.898,8497.9615,30
S50,BDM_AOS,316937.25,19014.58,9329.4627,4527.2808,30
S50,BDM_NoSIG,150306.05,43292.15,49003.557,10307.6542,30
S50,BDM_NoSpecOps,310272.01,29805.18,10916.4247,7096.4703,30
S50,BDM_Flat,273671.62,36465.78,19630.8033,8682.3294,30
S75,BDM_NoAOS,878205.2,83455.7,25630.379,11591.0694,30
S75,BDM_AOS,897364.47,96596.55,22969.3693,13416.1878,30
S75,BDM_NoSIG,215932.25,85804.87,109484.7747,9870.8058,30
S75,BDM_NoSpecOps,435404.34,62679.37,63871.7187,12053.7247,30
S75,BDM_Flat,229407.11,53212.98,103486.5707,10233.2654,30
