config,algorithm,seed,cost,makespan,runtime,status,num_scenes,num_actors,num_blocks,pareto_size,best_operator
S10,GA,1,11779.96,7.0,0.3504807949066162,success,10.0,5.0,,,
S10,GA,2,11779.96,7.0,0.3534083366394043,success,10.0,5.0,,,
S10,GA,3,11779.96,7.0,0.36572909355163574,success,10.0,5.0,,,
S10,PSO,1,11779.96,7.0,0.2058565616607666,success,10.0,5.0,,,
S10,PSO,2,11779.96,7.0,0.22265219688415527,success,10.0,5.0,,,
S10,PSO,3,12315.88,7.0,0.20364642143249512,success,10.0,5.0,,,
S10,MILP,1,13366.98,7.0,0.9770183563232422,success,10.0,5.0,,,
S10,BDM_NoAOS,1,11965.029999999999,7.0,0.2070467472076416,success,10.0,5.0,4.0,20.0,
S10,BDM_NoAOS,2,11965.029999999999,7.0,0.20830917358398438,success,10.0,5.0,4.0,20.0,
S10,BDM_NoAOS,3,11965.029999999999,7.0,0.22107672691345215,success,10.0,5.0,4.0,20.0,
S10,BDM_AOS,1,11965.029999999999,7.0,0.23531508445739746,success,10.0,5.0,4.0,20.0,pmx+block_swap
S10,BDM_AOS,2,11965.029999999999,7.0,0.21665358543395996,success,10.0,5.0,4.0,20.0,pmx+swap
S10,BDM_AOS,3,11965.029999999999,7.0,0.21247601509094238,success,10.0,5.0,4.0,20.0,lax+acm
S15,GA,1,23879.16,11.0,0.567976713180542,success,15.0,8.0,,,
S15,GA,2,18894.039999999997,11.0,0.541560173034668,success,15.0,8.0,,,
S15,GA,3,18926.45,11.0,0.5600423812866211,success,15.0,8.0,,,
S15,PSO,1,20750.16,11.0,0.327908992767334,success,15.0,8.0,,,
S15,PSO,2,17706.02,11.0,0.3268868923187256,success,15.0,8.0,,,
S15,PSO,3,17706.02,11.0,0.3219771385192871,success,15.0,8.0,,,
S15,MILP,1,17601.21,24.0,0.0420231819152832,success,15.0,8.0,,,
S15,BDM_NoAOS,1,28102.020000000004,11.0,0.23140239715576172,success,15.0,8.0,3.0,20.0,
S15,BDM_NoAOS,2,28102.020000000004,11.0,0.22990679740905762,success,15.0,8.0,3.0,20.0,
S15,BDM_NoAOS,3,28102.020000000004,11.0,0.2364485263824463,success,15.0,8.0,3.0,20.0,
S15,BDM_AOS,1,28102.020000000004,11.0,0.22571301460266113,success,15.0,8.0,3.0,20.0,pmx+block_swap
S15,BDM_AOS,2,28102.020000000004,11.0,0.23097753524780273,success,15.0,8.0,3.0,20.0,pmx+swap
S15,BDM_AOS,3,28102.020000000004,11.0,0.23879194259643555,success,15.0,8.0,3.0,20.0,lax+acm
S20,GA,1,29362.800000000017,13.0,0.8215541839599609,success,20.0,10.0,,,
S20,GA,2,29623.680000000004,13.0,0.8137016296386719,success,20.0,10.0,,,
S20,GA,3,29447.620000000006,13.0,0.7968041896820068,success,20.0,10.0,,,
S20,PSO,1,27688.41000000001,13.0,0.4845430850982666,success,20.0,10.0,,,
S20,PSO,2,29445.960000000006,13.0,0.4695742130279541,success,20.0,10.0,,,
S20,PSO,3,28831.079999999998,13.0,0.4718291759490967,success,20.0,10.0,,,
S20,MILP,0,inf,inf,0.0,skipped,,,,,
S20,BDM_NoAOS,1,37338.45,13.0,0.25515294075012207,success,20.0,10.0,4.0,20.0,
S20,BDM_NoAOS,2,37338.45,13.0,0.27469372749328613,success,20.0,10.0,4.0,20.0,
S20,BDM_NoAOS,3,37338.45,13.0,0.2565195560455322,success,20.0,10.0,4.0,20.0,
S20,BDM_AOS,1,37338.45,13.0,0.2619481086730957,success,20.0,10.0,4.0,17.0,pmx+block_swap
S20,BDM_AOS,2,37338.45,13.0,0.3026692867279053,success,20.0,10.0,4.0,20.0,pmx+swap
S20,BDM_AOS,3,37338.45,13.0,0.260056734085083,success,20.0,10.0,4.0,18.0,lax+acm
S25,GA,1,34319.42999999999,16.0,1.0007061958312988,success,25.0,12.0,,,
S25,GA,2,35594.92999999999,16.0,1.0753450393676758,success,25.0,12.0,,,
S25,GA,3,33268.490000000005,16.0,1.0961997509002686,success,25.0,12.0,,,
S25,PSO,1,38164.86999999999,16.0,0.5841529369354248,success,25.0,12.0,,,
S25,PSO,2,36450.16,16.0,0.6062724590301514,success,25.0,12.0,,,
S25,PSO,3,35810.12999999999,16.0,0.6019632816314697,success,25.0,12.0,,,
S25,MILP,0,inf,inf,0.0,skipped,,,,,
S25,BDM_NoAOS,1,38544.99999999999,16.0,0.303363561630249,success,25.0,12.0,6.0,1.0,
S25,BDM_NoAOS,2,36946.61000000001,16.0,0.3322272300720215,success,25.0,12.0,6.0,20.0,
S25,BDM_NoAOS,3,36946.61000000001,16.0,0.31888508796691895,success,25.0,12.0,6.0,20.0,
S25,BDM_AOS,1,36946.61000000001,16.0,0.32462453842163086,success,25.0,12.0,6.0,3.0,pmx+block_swap
S25,BDM_AOS,2,36946.61000000001,16.0,0.35955333709716797,success,25.0,12.0,6.0,20.0,pmx+swap
S25,BDM_AOS,3,36946.61000000001,16.0,0.3386800289154053,success,25.0,12.0,6.0,20.0,ox+block_swap
