config,algorithm,mean_cost,std_cost,min_cost,max_cost,mean_makespan,std_makespan,mean_runtime,num_runs
S10,BDM_AOS,10629.8,0.0,10629.8,10629.8,5.0,0.0,0.17,30
S10,BDM_Flat,9456.49,115.0,9202.94,9757.06,5.0,0.0,0.19,30
S10,BDM_NoAOS,10629.8,0.0,10629.8,10629.8,5.0,0.0,0.17,30
S10,BDM_NoSIG,11099.79,1446.15,9459.56,15610.61,5.0,0.0,0.16,30
S10,BDM_NoSpecOps,10629.8,0.0,10629.8,10629.8,5.0,0.0,0.17,30
S10,GA,9371.75,91.67,9202.94,9459.57,5.0,0.0,0.36,30
S10,MILP,11265.59,,11265.59,11265.59,6.0,,0.0,1
S10,PSO,9319.24,90.0,9202.94,9386.58,5.0,0.0,0.2,30
S100,BDM_AOS,468835.19,17582.8,424856.06,496623.45,49.0,0.0,1.36,30
S100,BDM_Flat,521318.54,23973.6,486104.57,571108.31,49.0,0.0,1.51,30
S100,BDM_NoAOS,467176.76,20132.59,416645.49,507971.46,49.0,0.0,1.32,30
S100,BDM_NoSIG,559981.01,19668.96,511301.92,593201.74,49.0,0.0,1.28,30
S100,BDM_NoSpecOps,470505.22,19259.89,427842.76,508116.78,49.0,0.0,1.39,30
S100,GA,493936.08,29432.4,442061.7,548180.49,49.0,0.0,7.4,30
S100,PSO,482191.01,29453.43,429360.02,542775.57,49.0,0.0,4.22,30
S15,BDM_AOS,18483.33,0.0,18483.33,18483.33,12.0,0.0,0.19,30
S15,BDM_Flat,14133.69,1211.18,12635.43,17611.52,12.0,0.0,0.24,30
S15,BDM_NoAOS,18483.33,0.0,18483.33,18483.33,12.0,0.0,0.18,30
S15,BDM_NoSIG,19991.82,1068.85,17180.87,22394.36,12.0,0.0,0.19,30
S15,BDM_NoSpecOps,18483.33,0.0,18483.33,18483.33,12.0,0.0,0.19,30
S15,GA,13182.36,716.14,12635.31,15085.96,12.0,0.0,0.6,30
S15,MILP,21218.09,,21218.09,21218.09,16.0,,0.0,1
S15,PSO,12932.48,257.21,12434.23,13513.86,12.0,0.0,0.34,30
S20,BDM_AOS,31903.18,0.0,31903.18,31903.18,12.0,0.0,0.23,30
S20,BDM_Flat,26324.02,1265.23,24754.97,30957.23,12.0,0.0,0.3,30
S20,BDM_NoAOS,31903.18,0.0,31903.18,31903.18,12.0,0.0,0.22,30
S20,BDM_NoSIG,32525.29,1216.02,30043.22,34571.96,12.0,0.0,0.23,30
S20,BDM_NoSpecOps,31903.18,0.0,31903.18,31903.18,12.0,0.0,0.23,30
S20,GA,25478.09,936.93,23747.42,28311.67,12.0,0.0,0.89,30
S20,PSO,25652.55,975.35,23512.8,27599.71,12.0,0.0,0.5,30
S25,BDM_AOS,76057.77,0.0,76057.77,76057.77,15.0,0.0,0.27,30
S25,BDM_Flat,53252.53,7752.13,42782.61,75468.52,15.0,0.0,0.36,30
S25,BDM_NoAOS,76057.77,0.0,76057.77,76057.77,15.0,0.0,0.27,30
S25,BDM_NoSIG,101283.52,10186.2,76934.55,117922.26,15.0,0.0,0.27,30
S25,BDM_NoSpecOps,76057.77,0.0,76057.77,76057.77,15.0,0.0,0.27,30
S25,GA,52141.53,6334.91,43063.63,65755.44,15.0,0.0,1.1,30
S25,PSO,49759.82,5973.46,41578.58,63112.95,15.0,0.0,0.62,30
S30,BDM_AOS,88096.51,2957.55,85314.72,95045.42,18.0,0.0,0.34,30
S30,BDM_Flat,92689.14,17654.55,63344.02,122040.42,18.0,0.0,0.43,30
S30,BDM_NoAOS,86962.58,2700.47,85314.72,95045.42,18.0,0.0,0.34,30
S30,BDM_NoSIG,127406.98,6724.34,107390.57,139132.55,18.0,0.0,0.33,30
S30,BDM_NoSpecOps,88977.58,3825.01,85314.72,98902.97,18.0,0.0,0.34,30
S30,GA,81472.57,15239.0,54548.69,111759.36,18.0,0.0,1.49,30
S30,PSO,71623.3,7908.01,58799.72,85942.1,18.0,0.0,0.85,30
S50,BDM_AOS,206572.43,12135.05,190795.82,227054.5,27.0,0.0,0.58,30
S50,BDM_Flat,194044.1,19601.59,150928.75,231786.99,27.0,0.0,0.65,30
S50,BDM_NoAOS,208688.83,14479.93,190795.82,233337.69,27.0,0.0,0.57,30
S50,BDM_NoSIG,235304.07,13932.11,210132.99,263663.59,27.0,0.0,0.57,30
S50,BDM_NoSpecOps,205098.5,12512.69,190795.82,226712.42,27.0,0.0,0.58,30
S50,GA,165887.09,23444.23,125202.36,216841.55,27.0,0.0,2.41,30
S50,PSO,157414.43,14824.12,133749.52,186118.07,27.0,0.0,1.35,30
S75,BDM_AOS,286989.38,19561.99,255794.67,336042.41,39.0,0.0,0.91,30
S75,BDM_Flat,329362.22,25893.46,290689.05,384987.97,39.0,0.0,1.0,30
S75,BDM_NoAOS,290385.83,21784.96,251107.74,338508.62,39.0,0.0,0.89,30
S75,BDM_NoSIG,359631.48,21843.09,304753.59,398526.47,39.0,0.0,0.88,30
S75,BDM_NoSpecOps,297409.52,22069.48,264356.86,337465.19,39.0,0.0,0.91,30
S75,GA,294176.74,27977.46,230818.83,357336.09,39.0,0.0,4.63,30
S75,PSO,278968.46,25345.23,219501.08,330018.04,39.0,0.0,2.64,30
